experiment,fold,epoch,train_loss,val_loss,macro_f1,micro_f1,mAP,threshold
Plain + GAP,1,96,0.93712435176898,1.2695688182029172,0.2531021632583952,0.23529411764705882,0.2972681529880743,0.39999999999999997
Plain + GAP,1,97,0.942495615647356,1.225855450699295,0.30641057259711924,0.3068181818181818,0.31404575262112144,0.6499999999999999
Plain + GAP,1,98,0.9294246593676847,1.26492072361103,0.2850844771355612,0.2414486921529175,0.30444178772186553,0.49999999999999994
Plain + GAP,1,99,0.9459875159793429,1.1979784412660461,0.31116428643539595,0.32,0.30139171618217814,0.6499999999999999
Plain + GAP,1,100,0.9572743705061616,1.4482616825380188,0.24082004899396964,0.19761737911702873,0.27710694775220746,0.3
Plain + GAP,1,101,0.9549162814525959,2.0495187717935313,0.19251688574167497,0.18835978835978837,0.29991421918254235,0.7
Plain + GAP,1,102,0.9359500625311569,1.2090056789094124,0.28113776495236054,0.2912,0.28826049295754286,0.5999999999999999
Plain + GAP,1,103,0.938088075927915,1.1705355022264563,0.2944711463207256,0.31388329979879276,0.3108651734809865,0.6499999999999999
Plain + GAP,1,104,0.954734311729181,1.479127490002176,0.2104227531687276,0.20985691573926868,0.2627604020455145,0.3
Plain + GAP,1,105,0.9389761271589658,1.2329627828321594,0.27998101895514255,0.2545454545454545,0.30332819340449974,0.5499999999999999
Plain + GAP,1,106,0.9322488242811192,1.2581729612488677,0.2827125759281517,0.29285714285714287,0.28940600992645643,0.5999999999999999
Plain + GAP,1,107,0.9272110994179175,1.247873426347539,0.2696614636856698,0.2606790799561884,0.2830895780192397,0.49999999999999994
Plain + GAP,1,108,0.9261496742349288,1.1565843526867852,0.28189741112689853,0.3037974683544304,0.2944410714158939,0.6499999999999999
Plain + GAP,1,109,0.9261878605097369,1.2784659897071728,0.26372017116509705,0.27648578811369506,0.30791901490640883,0.5999999999999999
Plain + GAP,1,110,0.9692276555549468,1.231000822523366,0.2581577813700899,0.2764423076923077,0.30226267536064444,0.5499999999999999
Plain + GAP,1,111,0.9298579401874368,1.2027587821518166,0.27905824443920124,0.2808022922636103,0.30777428216960334,0.5999999999999999
Plain + GAP,1,112,0.9415073785625521,1.1842770144559336,0.2955010158550953,0.3132530120481928,0.31159596876764173,0.6499999999999999
Plain + GAP,1,113,0.9318121489279908,1.2123490744742795,0.280925273408449,0.2619311875693674,0.302929093109956,0.49999999999999994
Plain + GAP,1,114,0.9298415311047288,1.194608741912289,0.29960431848087643,0.27586206896551724,0.3061052987023427,0.5999999999999999
Plain + GAP,1,115,0.923782590308476,1.3074755288552546,0.2793858189990279,0.2902654867256637,0.280745504182757,0.5999999999999999
Plain + GAP,1,116,0.9205812727167306,1.283079314922941,0.2700049221145067,0.2765598650927487,0.29524798516315504,0.5999999999999999
Plain + GAP,1,117,0.9350625678272629,1.425916023876356,0.25664394165857984,0.23157894736842105,0.303316964443542,0.6499999999999999
Plain + GAP,1,118,0.9064195280952315,1.2844862765160159,0.26972092317295887,0.25255102040816324,0.2891161984740937,0.5499999999999999
Plain + GAP,1,119,0.9413924479962263,1.2219316665677056,0.2761922040252095,0.27440633245382584,0.29816364598725303,0.5499999999999999
Plain + GAP,1,120,0.9214808732434049,1.2416913388431936,0.2694909544077604,0.25267665952890794,0.3006561623700696,0.44999999999999996
Plain + GAP,1,121,0.9371342046664712,1.9197091814400493,0.20835150830249294,0.20967741935483872,0.2881907567503472,0.3
Plain + GAP,1,122,0.9251581856027544,1.2459417978922527,0.2621081406228951,0.2488479262672811,0.29009800936362756,0.5999999999999999
Plain + GAP,1,123,0.9138184336365246,1.4428079905717268,0.2628968990233284,0.2857142857142857,0.3137139364324986,0.5999999999999999
Plain + GAP,1,124,0.9156654274094518,1.1832732791485994,0.3072691692169414,0.3118279569892473,0.30472295214567746,0.5999999999999999
Plain + GAP,1,125,0.8946488370443737,1.1927601729614148,0.2719996917291999,0.2846975088967972,0.29752238986838303,0.6499999999999999
Plain + GAP,1,126,0.9043752948443095,1.2717629463776299,0.28039803710831374,0.31237322515212984,0.30738436357820986,0.7
Plain + GAP,1,127,0.9036835258341444,1.2248325710711272,0.2916327930496528,0.2751159196290572,0.29496194288449407,0.5999999999999999
Plain + GAP,1,128,0.9043151436607695,1.3952007812002432,0.28020878817251144,0.2764976958525346,0.2958306476025004,0.6499999999999999
Plain + GAP,1,129,0.9100332596697225,1.251171390215556,0.2754063639210373,0.3108108108108108,0.3047146301031652,0.6499999999999999
Plain + GAP,1,130,0.8958489849267761,1.3419550726379172,0.28585298202140025,0.2681912681912682,0.31739592429109914,0.49999999999999994
Plain + GAP,1,131,0.9218397910260546,1.2827269996421924,0.2747252884883945,0.2655086848635236,0.2884784715009179,0.5499999999999999
Plain + GAP,1,132,0.8726563098652115,1.1990110718685647,0.3108965961963858,0.308,0.30840518532162625,0.6499999999999999
Plain + GAP,1,133,0.8857093343752113,1.3328456714533377,0.2669274309523037,0.302066772655008,0.28584183403101726,0.5499999999999999
Plain + GAP,1,134,0.9025257408944636,1.2240101582762124,0.30391743453834963,0.3140495867768595,0.29899074771893214,0.6499999999999999
Plain + GAP,1,135,0.8884451011490953,1.2618695160617,0.2890572825866944,0.2975929978118162,0.2944784731519692,0.6499999999999999
Plain + GAP,1,136,0.8718618417263899,1.2185197351635366,0.3041891042143468,0.29360967184801384,0.2933811360527654,0.5999999999999999
Plain + GAP,1,137,0.8324713435546514,1.8812564006750134,0.2401676204199656,0.18726016884113583,0.29721578222305584,0.35
Plain + GAP,1,138,0.8652791551336347,1.2425074318180913,0.31789092370893335,0.2975420439844761,0.3195547560105427,0.5499999999999999
Plain + GAP,1,139,0.8679828092265868,1.3332990252453347,0.2702885151777188,0.291044776119403,0.2747266788307358,0.5999999999999999
Plain + GAP,1,140,0.8797828910129318,1.2551892909450808,0.2697659433707627,0.2686084142394822,0.29315276427875564,0.5999999999999999
Plain + GAP,1,141,0.8750027685217519,1.2760230441024338,0.3024245614410284,0.3108108108108108,0.3013337806891095,0.7
Plain + GAP,1,142,0.895183090086626,1.3526630254759304,0.29656283702390795,0.3227016885553471,0.28072234424272113,0.6499999999999999
Plain + GAP,1,143,0.8758725090756443,1.2317558060521665,0.2865302468005591,0.2916666666666667,0.29391422315416604,0.6499999999999999
Plain + GAP,1,144,0.864586530921672,1.2510074670763984,0.30365919073468706,0.28160919540229884,0.30749276758803984,0.5999999999999999
Plain + GAP,1,145,0.9195830737306772,1.2779947674792747,0.24871956040060608,0.22982885085574573,0.2916890011360325,0.5499999999999999
Plain + GAP,1,146,0.9146323282210553,1.9358082785122637,0.23229491686482756,0.23426911907066797,0.30950382766015233,0.44999999999999996
Plain + GAP,1,147,0.8870553507830927,1.3279662477797356,0.2832612311610949,0.24464831804281345,0.3042563684940509,0.6499999999999999
Plain + GAP,1,148,0.8717796635323752,1.2484489912572114,0.30453597120598597,0.32323232323232326,0.31203160468999386,0.6499999999999999
Plain + GAP,1,149,0.8628046934939039,1.3389459174612295,0.2631098382940849,0.30057803468208094,0.2926604942479309,0.5999999999999999
Plain + GAP,1,150,0.8660403333726476,1.2639220814774002,0.2816603812751948,0.3017543859649123,0.28375614578269576,0.5999999999999999
Plain + GAP,2,1,1.2749312544998141,1.2325273026590762,0.15564617099552602,0.16038562664329536,0.15835750302480764,0.44999999999999996
Plain + GAP,2,2,1.2441707465166603,1.2098163642745088,0.1756185269870547,0.16616915422885573,0.1748759255253245,0.44999999999999996
Plain + GAP,2,3,1.2275361267812481,1.190903219623842,0.1872735808571144,0.19056785370548604,0.18122445974973045,0.49999999999999994
Plain + GAP,2,4,1.2136773468149598,1.1752040213432864,0.19884867622103986,0.1976639712488769,0.203036743720057,0.49999999999999994
Plain + GAP,2,5,1.2013343164395331,1.168887658395629,0.18935898862497857,0.1793103448275862,0.20325608496690187,0.44999999999999996
Plain + GAP,2,6,1.210245155028741,1.1781335170718208,0.1945952895822975,0.18415178571428573,0.20433953332246518,0.44999999999999996
Plain + GAP,2,7,1.1951969872841202,1.1638503627500671,0.202283548469873,0.19550038789759502,0.2218512855386787,0.49999999999999994
Plain + GAP,2,8,1.177820920727075,1.1537623509116794,0.2146277932526267,0.20881226053639848,0.2269183555593928,0.49999999999999994
